,freq,siec,nrg_bal,unit,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
42,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,AT,65.124,67.895,70.52,72.539,66.97,63.708,54.323,56.904,56.677,59.813,60.501,66.934,71.548,74.386,77.605,78.672,78.923,74.1,83.161
43,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
44,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,BE,0.068,0.066,0.079,0.09,0.688,0.577,0.597,1.286,1.532,2.501,1.398,1.42,1.854,1.624,1.92,0.543,0.471,0.682,3.795
45,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,BG,0.327,0.519,0.287,0.282,0.363,0.425,0.463,0.534,0.55,0.582,0.584,0.623,0.617,0.522,0.438,0.332,0.3,0.238,0.264
46,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,CZ,0.423,0.614,0.669,0.606,0.566,0.38,0.575,0.605,0.641,0.682,0.779,0.923,0.764,1.408,1.52,1.619,1.803,0.91,0.999
48,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,EA20,172.273,176.957,179.933,164.0,167.627,164.746,160.509,202.842,206.996,219.385,233.788,269.632,281.903,290.693,293.585,300.008,272.479,192.595,218.593
51,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,EE,0.887,1.214,0.942,0.902,0.973,0.82,0.83,0.818,0.825,0.622,0.411,0.392,0.469,0.433,0.415,0.722,1.163,0.0,0.0
52,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,EL,1.76,1.965,1.897,2.002,2.222,2.156,2.186,2.259,2.419,2.81,3.245,4.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,ES,29.957,27.979,22.141,0.824,2.342,2.316,3.292,6.257,6.957,6.967,7.59,8.643,8.715,8.838,9.082,9.563,6.393,7.21,8.537
54,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,EU27_2020,191.96,199.06,198.613,183.808,187.958,183.985,178.59,218.698,214.327,227.118,242.175,278.686,291.805,299.667,302.777,309.155,282.128,196.95,241.035
55,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
