,freq,siec,nrg_bal,unit,geo\TIME_PERIOD,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
98,A,E7100,FC_TRA_RAIL_E_RED,KTOE,GE,,,,,,,,,,,,,,,,,,5.566,7.152
99,A,E7100,FC_TRA_RAIL_E_RED,KTOE,HR,6.596,6.987,7.319,7.563,7.544,7.041,7.105,7.404,7.42,6.885,6.866,7.742,8.441,8.926,9.538,9.575,9.259,10.235,11.198
100,A,E7100,FC_TRA_RAIL_E_RED,KTOE,HU,14.915,14.956,16.361,17.232,17.34,18.237,17.65,19.872,18.012,24.022,24.424,26.296,28.162,29.905,30.248,30.645,31.619,9.866,12.031
101,A,E7100,FC_TRA_RAIL_E_RED,KTOE,IE,0.689,0.804,0.772,0.719,0.786,0.68,0.727,0.807,0.824,0.839,0.845,0.948,1.1,1.157,1.3,1.386,1.381,1.541,1.637
102,A,E7100,FC_TRA_RAIL_E_RED,KTOE,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,A,E7100,FC_TRA_RAIL_E_RED,KTOE,IT,61.815,63.308,60.528,62.159,66.006,67.709,73.107,83.578,87.86,101.9,117.178,137.428,156.495,158.658,166.736,162.742,135.463,155.878,182.582
104,A,E7100,FC_TRA_RAIL_E_RED,KTOE,LT,0.109,0.109,0.109,0.113,0.145,0.167,0.176,0.178,0.202,0.201,0.238,0.254,0.296,0.298,0.431,0.401,0.371,0.195,0.222
105,A,E7100,FC_TRA_RAIL_E_RED,KTOE,LU,1.028,1.289,1.513,1.66,1.645,1.705,1.909,2.303,2.358,2.723,2.798,3.177,3.377,3.585,3.825,3.976,3.64,1.351,1.681
106,A,E7100,FC_TRA_RAIL_E_RED,KTOE,LV,1.502,1.581,1.541,1.443,1.494,1.328,1.332,1.443,1.446,1.499,1.543,2.763,2.896,2.949,3.006,3.161,2.891,3.012,2.965
107,A,E7100,FC_TRA_RAIL_E_RED,KTOE,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
